LON Z
-120.46618727367903 0.0
-120.46627212426743 0.0
-120.46604757763757 -16.0
-120.4657324424523 -18.0
-120.46626375797146 0.0
-120.46574834117143 -26.0
-120.46571141109247 -5.999999999999999
-120.46618727367903 -2.0
-120.46602666046363 0.0
-120.46577355634099 -20.0
-120.46571213607275 -4.0
-120.46614520868545 -4.0
-120.46583581407471 -41.99999999999999
-120.46611999294572 -22.0
-120.46607446638087 -23.999999999999996
-120.46574248378224 0.0
-120.46578538340084 -20.0
-120.46616624114476 0.0
-120.46567950147185 -23.999999999999996
-120.46602475729209 -4.0
-120.46634179777328 -10.0
-120.46581740540756 -4.0
-120.46592245131221 0.0
-120.46569194173321 -2.0
-120.46621248954803 0.0
-120.46611462550104 -40.0
-120.46610900068178 0.0
-120.46572145246768 0.0
-120.46618894699292 -2.0
-120.4656927785048 -8.0
-120.46606454137162 0.0
-120.4655111434421 -5.999999999999999
-120.46623770543415 0.0
-120.46559716104123 -22.0
-120.46579793477582 -26.0
-120.46562237635837 -26.0
-120.46587430367116 -4.0
-120.46589461210944 0.0
-120.4658054655143 -52.0
-120.46583319086434 -2.0
-120.4656105502188 0.0
-120.46591469328389 -11.999999999999998
-120.46618643702088 0.0
-120.4659121831623 -29.999999999999996
-120.46621081624647 -2.0
-120.46594743866784 -20.0
-120.46580964922984 0.0
-120.46578705692791 -16.0
-120.46621165289764 -4.0
-120.46623770543415 0.0
-120.46570878899028 -2.0
-120.46602236224811 0.0
-120.46616373115663 -4.0
-120.46571726857537 0.0
-120.46619145695772 -2.0
-120.46566505325004 -4.0
-120.46623770543415 0.0
-120.4658071390029 0.0
-120.46581729275606 -28.0
-120.46570460511917 -8.0
-120.46603563388324 -65.99999999999999
-120.46555917278188 -8.0
-120.46589951867604 -20.0
-120.46584083455299 -46.0
-120.46575001470396 -16.0
-120.46618643702088 0.0
-120.46566505325004 0.0
-120.46586509979146 -2.0
-120.46578276064484 -26.0
-120.46566600141666 -4.0
-120.46576853577076 -2.0
-120.46621248954803 -2.0
-120.46578108714226 -18.0
-120.46581729275606 -28.0
