line,station,datetime,noidea,nodeid,latitude,longitude,utmy,utmx,elev
1,1,3/12/2018 6:05:50 PM,84000001,1622,46.528358,-120.466791,5155872.131202965,694273.5300073395,438.06159609375004
1,2,3/12/2018 5:56:16 PM,84000001,1658,46.528279,-120.466254,5155864.675747301,694314.9933853159,462.3419745117188
1,3,3/12/2018 6:10:37 PM,84000001,1654,46.528253,-120.467199,5155859.459992112,694242.6157985076,421.3524764648438
1,4,3/12/2018 5:47:56 PM,84000001,1590,46.528167,-120.466337,5155852.026856657,694309.0278920486,458.64169804687504
1,5,3/12/2018 6:47:50 PM,84000001,1644,46.528172,-120.466588,5155851.964316707,694289.7612820645,447.46771962890625
1,6,3/12/2018 5:39:02 PM,84000001,1617,46.52814,-120.465874,5155850.167163199,694344.630945021,472.7874764648438
1,7,3/12/2018 6:40:45 PM,84000001,1657,46.528115,-120.466843,5155845.003077201,694270.4090986911,435.9493529296875
1,8,3/12/2018 5:34:15 PM,84000001,1666,46.5281,-120.466167,5155845.001053757,694322.3039855721,464.8291529296875
1,9,3/12/2018 6:17:04 PM,84000001,1655,46.528029,-120.466991,5155835.083098956,694259.3659894252,429.57597451171875
1,10,3/12/2018 5:31:15 PM,84000001,1606,46.527988,-120.466034,5155832.884132425,694332.9032179592,467.28887255859377
1,12,3/12/2018 5:17:32 PM,84000001,1626,46.527869,-120.466004,5155819.735755477,694335.6285309592,466.30132353515626
1,13,3/12/2018 7:00:44 PM,84000001,1637,46.528051,-120.466379,5155839.034493544,694306.2208719321,456.77327255859376
1,15,3/12/2018 7:07:45 PM,84000001,1594,46.527792,-120.466204,5155810.687593659,694320.565535653,460.915494140625
1,16,3/12/2018 4:52:15 PM,84000001,1616,46.527618,-120.465891,5155792.125098626,694345.1900989586,464.228705859375
1,17,3/12/2018 4:36:53 PM,84000001,1628,46.527522,-120.465883,5155781.478101969,694346.1462053519,462.09205488281253
1,18,3/12/2018 4:28:58 PM,84000001,1598,46.527393,-120.465775,5155767.410743306,694354.8890221013,458.62037841796877
1,20,3/12/2018 4:20:27 PM,84000001,1634,46.527248,-120.465704,5155751.474470811,694360.8514644675,455.29805097656254
1,21,3/12/2018 4:10:57 PM,84000001,1592,46.527136,-120.465666,5155739.123591941,694364.1653944665,451.72275292968754
1,22,3/12/2018 5:04:31 PM,84000001,1610,46.527013,-120.465224,5155726.545764127,694398.5013370306,448.760105859375
1,23,3/12/2018 4:01:48 PM,84000001,1664,46.526986,-120.465627,5155722.552942453,694367.6916480447,447.28179609375
1,25,3/12/2018 3:55:40 PM,84000001,1589,46.526865,-120.465623,5155709.118308946,694368.4302583678,443.81317060546877
1,26,3/12/2018 3:40:41 PM,84000001,1620,46.526699,-120.465502,5155690.971880614,694378.3022510867,440.0062215820313
1,27,3/12/2018 4:57:23 PM,84000001,1642,46.526695,-120.465209,5155691.249276408,694400.7868161632,441.2406764648438
1,28,3/12/2018 9:40:36 PM,84000001,1621,46.526551,-120.46553,5155674.458407866,694376.6831503196,436.2053745117188
1,30,3/12/2018 9:42:35 PM,84000001,1651,46.526438,-120.465525,5155661.915130719,694377.4699143266,433.331094140625
1,31,3/12/2018 11:11:31 PM,84000001,1650,46.526325,-120.465124,5155650.3474622015,694408.626285735,433.5018
1,32,3/12/2018 9:46:07 PM,84000001,1625,46.526291,-120.465529,5155645.571893279,694377.6878104622,429.68874902343754
1,33,3/12/2018 9:48:56 PM,84000001,1633,46.526145,-120.465538,5155629.327450385,694377.5186786628,425.177694140625
1,34,3/12/2018 11:07:34 PM,84000001,2848,46.526008,-120.465062,5155615.277893807,694414.5127360121,426.2780548828125
1,35,3/12/2018 9:51:09 PM,84000001,1597,46.526007,-120.465489,5155614.114780638,694381.769089109,421.5658215820313
1,36,3/12/2018 9:53:19 PM,84000001,1623,46.525792,-120.465437,5155590.353923011,694386.5244212181,416.39947646484376
1,37,3/12/2018 10:56:02 PM,84000001,1660,46.525757,-120.464977,5155587.598357641,694421.9275374154,421.98034511718754
1,38,3/12/2018 10:21:10 PM,84000001,1646,46.525591,-120.465399,5155568.1141387075,694390.1561249008,412.2724725585938
1,39,3/12/2018 10:23:02 PM,84000001,1624,46.525457,-120.46542,5155553.173470736,694389.0238683812,408.55392744140624
1,40,3/12/2018 11:01:55 PM,84000001,1653,46.525346,-120.465062,5155541.722120393,694416.8758957603,413.0893529296875
1,41,3/12/2018 10:25:42 PM,84000001,1643,46.525326,-120.465412,5155538.637581008,694390.1049730364,405.2712254882813
1,42,3/12/2018 10:29:00 PM,84000001,1663,46.525128,-120.465458,5155516.524193496,694387.2838158815,398.32787255859375
1,UGAP3,0,0,0,46.52764,-120.46564,5155795.1878192965,694364.3605454252,466.249494140625
1,UGAP5,0,0,0,46.52663,-120.46553,5155683.236212943,694376.4011896589,438.1652548828125
1,UGAP6,0,0,0,46.52662,-120.46637,5155680.0561404815,694312.0168510657,436.04077060546877
