index,time,abs_correlation_sum,correlation_sum_threshold,threshold_metric,metric_input,template,snr
0,2016-07-19T10:55:58.888400Z,3.20162963867,2.9438354969,MAD,8.0,1970_01_01t00_00_17,3.87140864405
1,2016-07-20T03:51:30.908400Z,3.33085036278,2.96816825867,MAD,8.0,1970_01_01t00_00_17,4.54098776939
2,2016-07-20T12:56:21.758400Z,2.99445581436,2.96816825867,MAD,8.0,1970_01_01t00_00_17,4.23941535162
3,2016-07-21T06:29:23.228400Z,2.93396997452,2.92425465584,MAD,8.0,1970_01_01t00_00_17,3.28618661987
4,2016-07-22T12:39:15.438400Z,3.01941633224,2.94674777985,MAD,8.0,1970_01_01t00_00_17,3.50603955233
5,2016-07-26T12:22:40.718400Z,2.93960094452,2.87530374527,MAD,8.0,1970_01_01t00_00_17,3.67914871378
6,2016-07-26T14:11:31.428400Z,2.91424226761,2.87530374527,MAD,8.0,1970_01_01t00_00_17,5.50194267439
7,2016-07-29T17:06:32.728400Z,2.85657858849,2.84334969521,MAD,8.0,1970_01_01t00_00_17,3.22445946033
8,2016-07-29T21:43:08.018400Z,3.28202581406,2.84334969521,MAD,8.0,1970_01_01t00_00_17,3.83282757
9,2016-07-29T21:49:59.138400Z,2.93390822411,2.84334969521,MAD,8.0,1970_01_01t00_00_17,3.57063035933
10,2016-07-29T22:20:14.448400Z,2.95543074608,2.84334969521,MAD,8.0,1970_01_01t00_00_17,4.22492374261
11,2016-07-29T22:26:53.618400Z,4.02141523361,2.84334969521,MAD,8.0,1970_01_01t00_00_17,5.51417310112
12,2016-07-31T07:25:27.868400Z,3.04726147652,2.938331604,MAD,8.0,1970_01_01t00_00_17,5.39907654475
13,2016-07-31T09:27:04.398400Z,2.95355391502,2.938331604,MAD,8.0,1970_01_01t00_00_17,4.2224980397
14,2016-07-31T14:53:19.388400Z,3.40412449837,2.938331604,MAD,8.0,1970_01_01t00_00_17,3.9200962674
15,2016-07-31T17:20:34.668400Z,3.02665781975,2.938331604,MAD,8.0,1970_01_01t00_00_17,3.89367431591
16,2016-07-31T17:44:24.548400Z,3.10080862045,2.938331604,MAD,8.0,1970_01_01t00_00_17,4.1937494143
17,2016-08-01T09:10:43.528400Z,3.06121230125,2.98791027069,MAD,8.0,1970_01_01t00_00_17,3.93906361121
18,2016-08-01T11:02:07.398400Z,3.35670423508,2.98791027069,MAD,8.0,1970_01_01t00_00_17,3.87265852246
19,2016-08-03T13:10:15.398400Z,3.12758159637,2.90806674957,MAD,8.0,1970_01_01t00_00_17,3.41679816103
20,2016-08-04T09:24:11.848400Z,2.95969748497,2.91040372849,MAD,8.0,1970_01_01t00_00_17,3.42860182859
21,2016-08-08T16:01:09.638400Z,2.87875580788,2.8224503994,MAD,8.0,1970_01_01t00_00_17,3.63608303285
22,2016-08-10T08:23:30.308400Z,3.03069138527,2.92990636826,MAD,8.0,1970_01_01t00_00_17,4.33271234993
23,2016-08-11T07:30:08.668400Z,3.02699756622,2.95660209656,MAD,8.0,1970_01_01t00_00_17,3.43424025031
24,2016-08-12T03:38:23.088400Z,2.80934667587,2.80094528198,MAD,8.0,1970_01_01t00_00_17,2.85660075721
25,2016-08-12T23:35:01.878400Z,2.83426976204,2.80094528198,MAD,8.0,1970_01_01t00_00_17,3.25530585923
26,2016-08-13T08:40:08.848400Z,2.82319545746,2.77249622345,MAD,8.0,1970_01_01t00_00_17,10.3803274274
27,2016-08-14T14:10:42.578400Z,2.83079504967,2.81866312027,MAD,8.0,1970_01_01t00_00_17,2.94548762471
28,2016-08-14T16:55:10.438400Z,2.8268802166,2.81866312027,MAD,8.0,1970_01_01t00_00_17,3.45912535984
29,2016-08-14T21:41:15.788400Z,2.94389081001,2.81866312027,MAD,8.0,1970_01_01t00_00_17,4.76852701466
30,2016-08-15T08:20:55.908400Z,2.84484004974,2.83303117752,MAD,8.0,1970_01_01t00_00_17,3.86994731305
31,2016-08-15T12:41:11.328400Z,2.89814162254,2.83303117752,MAD,8.0,1970_01_01t00_00_17,3.50733219208
32,2016-08-16T11:20:57.588400Z,2.88507938385,2.87297916412,MAD,8.0,1970_01_01t00_00_17,3.4378409873
33,2016-08-16T12:22:58.698400Z,2.92347192764,2.87297916412,MAD,8.0,1970_01_01t00_00_17,3.93028780667
34,2016-08-17T03:46:37.208400Z,2.8899166584,2.87631249428,MAD,8.0,1970_01_01t00_00_17,4.45937994978
35,2016-08-17T15:27:51.498400Z,3.03620767593,2.87631249428,MAD,8.0,1970_01_01t00_00_17,3.89660038687
36,2016-08-19T12:41:53.538400Z,2.91033554077,2.85928678513,MAD,8.0,1970_01_01t00_00_17,3.77630200737
37,2016-08-20T08:16:34.408400Z,3.16342616081,2.86896562576,MAD,8.0,1970_01_01t00_00_17,3.09668240561
38,2016-08-23T11:34:14.128400Z,2.70844221115,2.69180011749,MAD,8.0,1970_01_01t00_00_17,3.72290073221
39,2016-08-26T14:00:14.658400Z,2.94562339783,2.8922021389,MAD,8.0,1970_01_01t00_00_17,4.33106281078
40,2016-08-27T17:02:35.418400Z,3.0092549324,2.88672494888,MAD,8.0,1970_01_01t00_00_17,3.49506144064
41,2016-08-29T08:20:04.838400Z,3.01922917366,2.94639158249,MAD,8.0,1970_01_01t00_00_17,3.26351561532
42,2016-08-31T21:38:34.408400Z,3.0937333107,2.89599657059,MAD,8.0,1970_01_01t00_00_17,3.4588765249
43,2016-09-02T00:50:19.728400Z,2.91894221306,2.89526033401,MAD,8.0,1970_01_01t00_00_17,3.99350801947
44,2016-09-02T06:56:46.078400Z,3.07589626312,2.89526033401,MAD,8.0,1970_01_01t00_00_17,4.78939361702
45,2016-09-03T14:50:58.518400Z,2.94480514526,2.85964608192,MAD,8.0,1970_01_01t00_00_17,5.18340311553
46,2016-09-04T09:53:25.748400Z,2.97850990295,2.85954403877,MAD,8.0,1970_01_01t00_00_17,4.53172246214
47,2016-09-04T10:02:34.818400Z,2.91282582283,2.85954403877,MAD,8.0,1970_01_01t00_00_17,4.97337976099
48,2016-09-04T14:48:17.498400Z,2.98479819298,2.85954403877,MAD,8.0,1970_01_01t00_00_17,3.7278238817
49,2016-09-05T06:04:45.708400Z,2.9386973381,2.79765558243,MAD,8.0,1970_01_01t00_00_17,3.57153474212
50,2016-09-06T13:07:15.678400Z,2.86962890625,2.84712219238,MAD,8.0,1970_01_01t00_00_17,3.43090619699
51,2016-09-07T02:07:59.948400Z,2.85350728035,2.75912094116,MAD,8.0,1970_01_01t00_00_17,3.51348025465
52,2016-09-07T07:45:41.088400Z,2.8047645092,2.75912094116,MAD,8.0,1970_01_01t00_00_17,3.34494287073
53,2016-09-07T09:11:19.638400Z,2.77121210098,2.75912094116,MAD,8.0,1970_01_01t00_00_17,3.51238696821
