LON Z
-120.4655854453426 -53.65
-120.4664130243628 -64.75
-120.46749883928993 -37.925
-120.46532627294376 -11.1
-120.46604183573673 -60.125
-120.46559191895065 -0.4625
-120.4660204424649 -0.4625
-120.46632422917287 -4.625
-120.46600969717319 -1.85
-120.46758808621995 -8.325
-120.46602928516452 -61.975
-120.46632004612069 -47.175
-120.46677356768468 -0.925
-120.46643907617403 -0.925
-120.46572968111674 -41.625
-120.46475173219363 -0.4625
-120.46574783973362 -101.288
-120.46540584587873 -54.575
-120.46533889338758 -65.675
-120.46612968469526 -19.425
-120.46534955776832 -55.9625
-120.46625025497677 -79.55
-120.4653672407261 -3.2375
-120.46549520845761 -104.525
-120.46602319893243 -0.925
-120.46654698738288 -4.625
-120.46604639467272 -67.525
-120.4653519196423 -42.0875
-120.46554913091677 -101.288
-120.46604649495251 -31.45
-120.4671289680793 -52.725
-120.46573843765155 -0.4625
-120.46623018477574 -64.75
-120.4680842288226 -0.925
-120.46849842108043 -0.925
-120.46513230178253 -23.5875
-120.46575991763297 -61.05
-120.46551565719973 -146.612
-120.46633068609628 -106.375
-120.46594684855603 -71.225
-120.46578597011255 -54.575
-120.46589940466859 -11.5625
-120.46719087924363 -100.825
-120.46663768911617 -1.85
-120.46592041623964 -0.4625
-120.46621631266103 -0.925
-120.46559981303679 -49.025
-120.46588267075042 -52.2625
-120.46624273356721 -1.85
-120.46694948828785 -10.175
-120.46523232438759 -27.75
-120.46601245294904 -35.6125
-120.4664120686426 -2.775
-120.46632470624746 -0.4625
-120.46565333823237 -87.875
-120.46551376398472 -0.4625
-120.46564126013838 -0.4625
-120.46624188863505 -1.85
-120.46593059055306 -68.9125
-120.46817842295623 -2.775
-120.46654603019194 -72.15
-120.46557612992017 -86.025
-120.46568823207045 -128.113
-120.46683355550276 -6.475
-120.46716241928362 -52.725
-120.4663683309137 -0.925
-120.46546537168135 -27.75
-120.46724812830803 -1.85
-120.46630977160798 -84.175
-120.4662553915954 -135.975
-120.46566265422295 -11.1
-120.46804466398834 -0.925
-120.46645676271986 -85.1
-120.46588552134034 -134.125
-120.46734863816704 -0.925
-120.46684575805995 -0.925
-120.46532816280083 -35.15
-120.46586593651178 -116.088
-120.46658044614821 -0.925
-120.46833445019624 -0.4625
-120.46607207158004 -58.7375
-120.46723832002729 -141.987
-120.4674983561109 -143.838
-120.46611761177329 -107.763
-120.46665585527838 -129.962
-120.46541887179028 -119.788
-120.4668452784033 -101.288
-120.465705441895 -132.275
-120.46740910541294 -49.025
-120.46629722267471 -6.475
-120.46648651903563 -87.875
-120.46817103687067 -86.95
-120.46658427533109 -45.325
-120.46761928607015 -36.075
-120.46649536235908 -117.012
-120.4671289680793 -78.625
-120.46501276649063 -39.775
-120.46544310343106 -56.425
-120.46735973484874 -125.337
-120.46516071082357 -78.625
-120.46740765753891 -40.2375
-120.46834504007187 -146.612
-120.46496997303477 -115.163
-120.46488716002982 -86.95
-120.46500486658984 -43.0125
-120.46806264998756 -145.687
-120.46788689295327 -24.975
-120.4669898654272 -63.825
-120.46659956944688 -100.362
-120.46484620187071 -1.85
-120.46460105161785 -63.3625
-120.46608737678987 -104.988
-120.46656515279074 -105.912
-120.4648657628774 -102.212
-120.46501742230154 -122.563
-120.46519000513133 -0.4625
-120.46689032090107 -111.462
-120.46499649601519 -145.687
-120.46544445059452 -94.35
-120.46460570604259 -71.225
-120.46821526767498 -146.612
-120.46712478658867 -121.175
-120.46655116979863 -130.425
